algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002744102478027344,0.0047966957092285155,0.3723922454357237,0.5342857142857144,0.2859727891156462,0.5342857142857144,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.001650524139404297,0.004372930526733399,0.6166374269005848,0.6714285714285714,0.7996003996003996,0.6714285714285714,0.5263157894736842,1.0,0.25,0.4,0.3307189138830738,0.25,1.0
LogisticRegression,0.01137237548828125,0.004506683349609375,0.3723922454357237,0.5342857142857144,0.2859727891156462,0.5342857142857144,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,1.0
SGDClassifier,0.0022223472595214845,0.004247283935546875,0.5116854763170553,0.5990476190476189,0.5480322851751422,0.5990476190476189,0.5263157894736842,1.0,0.25,0.4,0.3307189138830738,0.25,1.0
LinearDiscriminantAnalysis,0.0053004264831542965,0.006432867050170899,0.56543255763844,0.5771428571428572,0.5893217893217892,0.5771428571428572,0.8947368421052632,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.7738095238095238,0.9166666666666666,0.8571428571428571
QuadraticDiscriminantAnalysis,0.003457498550415039,0.006590557098388672,0.602051282051282,0.6019047619047619,0.6057312925170069,0.6019047619047619,0.5263157894736842,0.6153846153846154,0.6666666666666666,0.64,-0.049416621110740085,0.6666666666666666,0.2857142857142857
SVC,0.0017438888549804687,0.0066849708557128905,0.3723922454357237,0.5342857142857144,0.2859727891156462,0.5342857142857144,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,1.0
KNeighborsClassifier,0.0007268905639648438,0.009124374389648438,0.6106942618784724,0.618095238095238,0.6240321583178725,0.618095238095238,0.7368421052631579,1.0,0.5833333333333334,0.7368421052631579,0.5833333333333334,0.5833333333333334,1.0
GaussianNB,0.0007656097412109375,0.003626251220703125,0.6205349737981317,0.6438095238095238,0.6642712842712842,0.6438095238095238,0.47368421052631576,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.049416621110740085,0.3333333333333333,0.7142857142857143
DecisionTreeClassifier,0.007045316696166992,0.003580474853515625,0.5828822811175752,0.5885714285714285,0.600015873015873,0.5885714285714285,0.8421052631578947,1.0,0.75,0.8571428571428571,0.724568837309472,0.75,1.0
ExtraTreeClassifier,0.0006217002868652344,0.003553152084350586,0.6172870549929372,0.6304761904761905,0.6488253968253967,0.6304761904761905,0.7368421052631579,1.0,0.5833333333333334,0.7368421052631579,0.5833333333333334,0.5833333333333334,1.0
RandomForestClassifier,0.09316344261169433,0.016318225860595705,0.6538756613756613,0.6571428571428571,0.6622698412698412,0.6571428571428571,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,0.4200412794412907,0.8333333333333334,0.5714285714285714
BaggingClassifier,0.024788904190063476,0.023685503005981445,0.6032804842216607,0.6171428571428572,0.6233597883597883,0.6171428571428572,0.5789473684210527,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.28414557138675545,0.4166666666666667,0.8571428571428571
AdaBoostClassifier,0.19995756149291993,0.008801603317260742,0.6046904761904762,0.6171428571428571,0.6119047619047618,0.6171428571428571,0.5789473684210527,0.75,0.5,0.6,0.20935894733965593,0.5,0.7142857142857143
GradientBoostingClassifier,0.8286376953125,0.004261016845703125,0.4520538285244168,0.4542857142857143,0.45328042328042323,0.4542857142857143,0.8421052631578947,1.0,0.75,0.8571428571428571,0.724568837309472,0.75,1.0
HistGradientBoostingClassifier,0.032840633392333986,0.0050757408142089845,0.6295798319327731,0.6323809523809524,0.6432286470143612,0.6323809523809524,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
ExtraTrees-ensemble,0.06652965545654296,0.016142511367797853,0.7104049654049653,0.7133333333333333,0.7262947845804989,0.7133333333333333,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
XGBClassifier,0.03621864318847656,0.006289100646972657,0.6262118437118437,0.6314285714285713,0.6406651549508691,0.6314285714285713,0.7894736842105263,0.9,0.75,0.8181818181818182,0.5865557254410011,0.75,0.8571428571428571
LGBMClassifier,0.025492143630981446,0.0062485218048095705,0.6135421006009241,0.618095238095238,0.625469387755102,0.618095238095238,0.7368421052631579,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.5060480768510598,0.6666666666666666,0.8571428571428571
