algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002225780487060547,0.005122089385986328,0.34254978354978355,0.48,0.3741022152450724,0.48,0.5789473684210527,0.3333333333333333,0.14285714285714285,0.2,-0.0314970394174356,0.14285714285714285,0.8333333333333334
RidgeClassifier,0.0014585494995117188,0.0044863224029541016,0.6130047403576816,0.6142857142857142,0.6237339380196523,0.6142857142857142,0.47368421052631576,0.4,0.8571428571428571,0.5454545454545454,0.1267731382092775,0.8571428571428571,0.25
LogisticRegression,0.01757493019104004,0.0043738365173339845,0.6402686202686203,0.6428571428571429,0.6444047619047618,0.6428571428571429,0.47368421052631576,0.4,0.8571428571428571,0.5454545454545454,0.1267731382092775,0.8571428571428571,0.25
SGDClassifier,0.0009247303009033203,0.004523181915283203,0.3258949745906267,0.4923809523809523,0.24406802721088433,0.4923809523809523,0.3684210526315789,0.3684210526315789,1.0,0.5384615384615384,0.0,1.0,0.0
LinearDiscriminantAnalysis,0.001100015640258789,0.004440402984619141,0.7378572304888095,0.7419047619047618,0.7562121212121211,0.7419047619047618,0.631578947368421,0.5,0.8571428571428571,0.631578947368421,0.35714285714285715,0.8571428571428571,0.5
QuadraticDiscriminantAnalysis,0.0009439945220947266,0.004525089263916015,0.3723922454357237,0.5342857142857144,0.2859727891156462,0.5342857142857144,0.42105263157894735,0.35714285714285715,0.7142857142857143,0.47619047619047616,-0.03912303982179758,0.7142857142857143,0.25
SVC,0.0011012554168701172,0.004967880249023437,0.733994290023702,0.740952380952381,0.7868994708994709,0.740952380952381,0.5263157894736842,0.3333333333333333,0.2857142857142857,0.3076923076923077,-0.049416621110740085,0.2857142857142857,0.6666666666666666
KNeighborsClassifier,0.0005986690521240234,0.005251741409301758,0.6069176953077882,0.6180952380952381,0.6477056277056276,0.6180952380952381,0.47368421052631576,0.3333333333333333,0.42857142857142855,0.375,-0.06900655593423542,0.42857142857142855,0.5
GaussianNB,0.0006401538848876953,0.003661775588989258,0.6512821389137178,0.6561904761904762,0.6657227032227031,0.6561904761904762,0.5263157894736842,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.13095238095238096,0.7142857142857143,0.4166666666666667
DecisionTreeClassifier,0.0011897087097167969,0.004725217819213867,0.5953500203500204,0.6161904761904762,0.6149358974358974,0.6161904761904762,0.5263157894736842,0.4,0.5714285714285714,0.47058823529411764,0.06900655593423542,0.5714285714285714,0.5
ExtraTreeClassifier,0.0009020805358886719,0.004949045181274414,0.6978754578754579,0.6980952380952381,0.7052380952380952,0.6980952380952381,0.6842105263157895,0.5555555555555556,0.7142857142857143,0.625,0.3680349649825889,0.7142857142857143,0.6666666666666666
RandomForestClassifier,0.09668712615966797,0.016323661804199217,0.7345914869444281,0.7542857142857143,0.7961904761904762,0.7542857142857143,0.5789473684210527,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.20935894733965593,0.7142857142857143,0.5
BaggingClassifier,0.011589956283569337,0.015541553497314453,0.6534410687351864,0.659047619047619,0.6799999999999999,0.659047619047619,0.5263157894736842,0.4,0.5714285714285714,0.47058823529411764,0.06900655593423542,0.5714285714285714,0.5
AdaBoostClassifier,0.05929088592529297,0.009023904800415039,0.7159377289377289,0.7247619047619047,0.7367233560090702,0.7247619047619047,0.5263157894736842,0.375,0.42857142857142855,0.4,0.011631052629980886,0.42857142857142855,0.5833333333333334
GradientBoostingClassifier,0.11923503875732422,0.005364656448364258,0.6548588666235725,0.6561904761904762,0.6622883597883596,0.6561904761904762,0.5263157894736842,0.4,0.5714285714285714,0.47058823529411764,0.06900655593423542,0.5714285714285714,0.5
HistGradientBoostingClassifier,0.0189302921295166,0.0057162284851074215,0.7446377696377697,0.7561904761904762,0.8047812372812373,0.7561904761904762,0.5789473684210527,0.4444444444444444,0.5714285714285714,0.5,0.14951420452417674,0.5714285714285714,0.5833333333333334
ExtraTrees-ensemble,0.06646676063537597,0.016611146926879882,0.7500102626418417,0.7542857142857143,0.7691815089672233,0.7542857142857143,0.5789473684210527,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.20935894733965593,0.7142857142857143,0.5
XGBClassifier,0.013516092300415039,0.005299901962280274,0.6935422472264577,0.7,0.7086580086580087,0.7,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.32142857142857145,0.5714285714285714,0.75
LGBMClassifier,0.012503385543823242,0.006035614013671875,0.7230770107085897,0.7276190476190476,0.7365560365560365,0.7276190476190476,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.32142857142857145,0.5714285714285714,0.75
