algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0028029918670654298,0.0039749622344970705,0.6113352007469655,0.6142857142857142,0.6156216931216931,0.6142857142857142,0.6842105263157895,0.6,0.75,0.6666666666666666,0.3820465887291705,0.75,0.6363636363636364
RidgeClassifier,0.001484823226928711,0.0036147594451904296,0.640534188034188,0.6447619047619048,0.6484126984126984,0.6447619047619048,0.6842105263157895,0.5833333333333334,0.875,0.7,0.4303489473092928,0.875,0.5454545454545454
LogisticRegression,0.011431503295898437,0.004452753067016602,0.5730747683688859,0.5742857142857142,0.5753306878306877,0.5742857142857142,0.7368421052631579,0.6363636363636364,0.875,0.7368421052631579,0.5113636363636364,0.875,0.6363636363636364
SGDClassifier,0.002273893356323242,0.0038938522338867188,0.5628842172320433,0.6161904761904762,0.6139757834757834,0.6161904761904762,0.5263157894736842,0.4666666666666667,0.875,0.6086956521739131,0.1789066118330336,0.875,0.2727272727272727
LinearDiscriminantAnalysis,0.0075109004974365234,0.00648655891418457,0.6228276032532998,0.6304761904761905,0.6405507455507455,0.6304761904761905,0.631578947368421,0.5555555555555556,0.625,0.5882352941176471,0.2584432806109095,0.625,0.6363636363636364
QuadraticDiscriminantAnalysis,0.004639053344726562,0.006872701644897461,0.42797065679418617,0.4371428571428571,0.43015873015873013,0.4371428571428571,0.6842105263157895,0.6,0.75,0.6666666666666666,0.3820465887291705,0.75,0.6363636363636364
SVC,0.002426815032958984,0.007362985610961914,0.6005860805860805,0.6009523809523809,0.6039285714285714,0.6009523809523809,0.7368421052631579,0.6666666666666666,0.75,0.7058823529411765,0.47193990372426947,0.75,0.7272727272727273
KNeighborsClassifier,0.0009714603424072265,0.011169004440307616,0.5655323005168207,0.5704761904761904,0.575021645021645,0.5704761904761904,0.6842105263157895,0.6,0.75,0.6666666666666666,0.3820465887291705,0.75,0.6363636363636364
GaussianNB,0.0033281326293945314,0.009303998947143555,0.45254189492175756,0.5638095238095238,0.4837777777777778,0.5638095238095238,0.42105263157894735,0.42105263157894735,1.0,0.5925925925925926,0.0,1.0,0.0
DecisionTreeClassifier,0.006389331817626953,0.003696632385253906,0.6669113239701476,0.6714285714285715,0.6823015873015873,0.6714285714285715,0.47368421052631576,0.4166666666666667,0.625,0.5,-0.011631052629980886,0.625,0.36363636363636365
ExtraTreeClassifier,0.0006739139556884765,0.0036098480224609373,0.6143426943426943,0.6161904761904762,0.6204047619047618,0.6161904761904762,0.6842105263157895,0.6666666666666666,0.5,0.5714285714285714,0.3379631847096873,0.5,0.8181818181818182
RandomForestClassifier,0.08728718757629395,0.016304159164428712,0.6552036199095024,0.6571428571428573,0.6595238095238095,0.6571428571428573,0.5789473684210527,0.5,0.75,0.6,0.20935894733965593,0.75,0.45454545454545453
BaggingClassifier,0.021808719635009764,0.01501321792602539,0.64407605466429,0.6561904761904762,0.676969696969697,0.6561904761904762,0.7368421052631579,0.6363636363636364,0.875,0.7368421052631579,0.5113636363636364,0.875,0.6363636363636364
AdaBoostClassifier,0.16176204681396483,0.009082698822021484,0.6116791828742294,0.6285714285714286,0.6761111111111111,0.6285714285714286,0.5263157894736842,0.46153846153846156,0.75,0.5714285714285714,0.1207011373963169,0.75,0.36363636363636365
GradientBoostingClassifier,0.6400959014892578,0.0043064594268798825,0.6801008202323992,0.6857142857142857,0.693910533910534,0.6857142857142857,0.6842105263157895,0.625,0.625,0.625,0.3522727272727273,0.625,0.7272727272727273
HistGradientBoostingClassifier,0.048764514923095706,0.005230903625488281,0.5776223776223777,0.5895238095238096,0.6021380471380471,0.5895238095238096,0.6842105263157895,0.625,0.625,0.625,0.3522727272727273,0.625,0.7272727272727273
ExtraTrees-ensemble,0.06511411666870118,0.016174840927124023,0.6175282234105763,0.6266666666666667,0.6215740740740742,0.6266666666666667,0.5789473684210527,0.5,0.75,0.6,0.20935894733965593,0.75,0.45454545454545453
XGBClassifier,0.04399852752685547,0.005785226821899414,0.5990367527209632,0.6047619047619047,0.6047294372294372,0.6047619047619047,0.5789473684210527,0.5,0.625,0.5555555555555556,0.1685499656158105,0.625,0.5454545454545454
LGBMClassifier,0.021619749069213868,0.006478738784790039,0.6094117647058823,0.618095238095238,0.6254713804713805,0.618095238095238,0.6842105263157895,0.625,0.625,0.625,0.3522727272727273,0.625,0.7272727272727273
