algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0022172927856445312,0.0038271427154541017,0.6559523809523808,0.6571428571428571,0.6645238095238095,0.6571428571428571,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555,0.5555555555555556,0.5
RidgeClassifier,0.0014044761657714844,0.003699207305908203,0.6712087912087912,0.6714285714285714,0.6738095238095239,0.6714285714285714,0.5789473684210527,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.15555555555555556,0.5555555555555556,0.6
LogisticRegression,0.011436843872070312,0.004828786849975586,0.6692857142857142,0.6704761904761904,0.6769047619047619,0.6704761904761904,0.5263157894736842,0.5,0.5555555555555556,0.5263157894736842,0.05555555555555555,0.5555555555555556,0.5
SGDClassifier,0.0021741390228271484,0.004409122467041016,0.5290280733758995,0.6,0.5021534391534391,0.6,0.47368421052631576,0.47368421052631576,1.0,0.6428571428571429,0.0,1.0,0.0
LinearDiscriminantAnalysis,0.005183172225952148,0.006416940689086914,0.706259932018446,0.7142857142857142,0.7444444444444445,0.7142857142857142,0.7368421052631579,0.7,0.7777777777777778,0.7368421052631579,0.4777777777777778,0.7777777777777778,0.7
QuadraticDiscriminantAnalysis,0.0034371376037597655,0.006404447555541992,0.6164285714285714,0.6171428571428571,0.62010582010582,0.6171428571428571,0.5789473684210527,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.15555555555555556,0.5555555555555556,0.6
SVC,0.001711893081665039,0.006700754165649414,0.4272303731127261,0.518095238095238,0.4125905205905206,0.518095238095238,0.5789473684210527,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.23134069792952236,0.8888888888888888,0.3
KNeighborsClassifier,0.0006545543670654297,0.008847427368164063,0.6396428571428571,0.6419047619047618,0.6476190476190474,0.6419047619047618,0.8421052631578947,0.8,0.8888888888888888,0.8421052631578947,0.6888888888888889,0.8888888888888888,0.8
GaussianNB,0.0007528781890869141,0.003641557693481445,0.6229161035043388,0.6285714285714286,0.6345634920634919,0.6285714285714286,0.5789473684210527,0.5714285714285714,0.4444444444444444,0.5,0.14951420452417674,0.4444444444444444,0.7
DecisionTreeClassifier,0.0070797443389892575,0.003659963607788086,0.6975037707390648,0.7,0.717,0.7,0.5789473684210527,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.19096396641051544,0.7777777777777778,0.4
ExtraTreeClassifier,0.0006232261657714844,0.00354619026184082,0.7378657616892911,0.74,0.7464814814814815,0.74,0.631578947368421,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.2875273163926476,0.7777777777777778,0.5
RandomForestClassifier,0.09254059791564942,0.016596269607543946,0.7365384615384614,0.738095238095238,0.7451190476190476,0.738095238095238,0.7894736842105263,0.7272727272727273,0.8888888888888888,0.8,0.5955432118425306,0.8888888888888888,0.7
BaggingClassifier,0.025340795516967773,0.019210386276245116,0.7020736670736671,0.7142857142857142,0.7497150997150998,0.7142857142857142,0.6842105263157895,0.6363636363636364,0.7777777777777778,0.7,0.3820465887291705,0.7777777777777778,0.6
AdaBoostClassifier,0.16805615425109863,0.007806205749511718,0.7217236467236468,0.7247619047619047,0.7332619047619048,0.7247619047619047,0.6842105263157895,0.6363636363636364,0.7777777777777778,0.7,0.3820465887291705,0.7777777777777778,0.6
GradientBoostingClassifier,0.7456839084625244,0.004349327087402344,0.7405128205128204,0.7409523809523809,0.7450000000000001,0.7409523809523809,0.631578947368421,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.2875273163926476,0.7777777777777778,0.5
HistGradientBoostingClassifier,0.03222222328186035,0.005097627639770508,0.7786856280973928,0.7790476190476191,0.7812169312169314,0.7790476190476191,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598,0.8888888888888888,0.6
ExtraTrees-ensemble,0.06527032852172851,0.01621279716491699,0.7643956043956044,0.7647619047619048,0.7682142857142857,0.7647619047619048,0.7894736842105263,0.7272727272727273,0.8888888888888888,0.8,0.5955432118425306,0.8888888888888888,0.7
XGBClassifier,0.035779809951782225,0.006202793121337891,0.7942857142857143,0.7942857142857143,0.7957142857142857,0.7942857142857143,0.7368421052631579,0.7,0.7777777777777778,0.7368421052631579,0.4777777777777778,0.7777777777777778,0.7
LGBMClassifier,0.026581621170043944,0.006389808654785156,0.7668174962292609,0.7676190476190475,0.770740740740741,0.7676190476190475,0.7894736842105263,0.7272727272727273,0.8888888888888888,0.8,0.5955432118425306,0.8888888888888888,0.7
