algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.1517873764038086,0.04200258255004883,0.5761050172328368,0.6438095238095237,0.7866117216117218,0.6438095238095237,0.42105263157894735,0.3888888888888889,1.0,0.56,0.1800205749557739,1.0,0.08333333333333333
RidgeClassifier,0.06661930084228515,0.007501792907714844,0.6403174603174604,0.6857142857142857,0.8024642024642026,0.6857142857142857,0.42105263157894735,0.375,0.8571428571428571,0.5217391304347826,0.0314970394174356,0.8571428571428571,0.16666666666666666
LogisticRegression,0.21547598838806153,0.013688993453979493,0.5761050172328368,0.6438095238095237,0.7866117216117218,0.6438095238095237,0.42105263157894735,0.3888888888888889,1.0,0.56,0.1800205749557739,1.0,0.08333333333333333
SGDClassifier,0.08767290115356445,0.009391164779663086,0.8465608465608465,0.8495238095238096,0.8705844155844156,0.8495238095238096,0.7368421052631579,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.4200412794412907,0.5714285714285714,0.8333333333333334
LinearDiscriminantAnalysis,0.6684937000274658,0.008842754364013671,0.6890446024563671,0.7142857142857142,0.8043487993487994,0.7142857142857142,0.6842105263157895,0.6666666666666666,0.2857142857142857,0.4,0.2677248350482026,0.2857142857142857,0.9166666666666666
QuadraticDiscriminantAnalysis,0.310809326171875,0.025023603439331056,0.45926137479078655,0.5171428571428571,0.5737326007326008,0.5171428571428571,0.5263157894736842,0.0,0.0,0.0,-0.2619684159977919,0.0,0.8333333333333334
SVC,0.09987335205078125,0.07717852592468262,0.6175963718820862,0.6714285714285715,0.7966033966033967,0.6714285714285715,0.42105263157894735,0.3888888888888889,1.0,0.56,0.1800205749557739,1.0,0.08333333333333333
KNeighborsClassifier,0.008281469345092773,0.016186237335205078,0.55270955165692,0.5876190476190477,0.5855571095571095,0.5876190476190477,0.3157894736842105,0.2857142857142857,0.5714285714285714,0.38095238095238093,-0.28690229202651557,0.5714285714285714,0.16666666666666666
GaussianNB,0.04079041481018066,0.012910604476928711,0.727838485101643,0.7533333333333333,0.8345530025530025,0.7533333333333333,0.631578947368421,0.5,0.8571428571428571,0.631578947368421,0.35714285714285715,0.8571428571428571,0.5
DecisionTreeClassifier,0.12334203720092773,0.005534029006958008,0.5769350031346935,0.6142857142857142,0.7097668997668999,0.6142857142857142,0.47368421052631576,0.2,0.14285714285714285,0.16666666666666666,-0.20865621238292043,0.14285714285714285,0.6666666666666666
ExtraTreeClassifier,0.012255525588989258,0.005238580703735352,0.5962070580491633,0.6428571428571428,0.7662254412254412,0.6428571428571428,0.5789473684210527,0.0,0.0,0.0,-0.1800205749557739,0.0,0.9166666666666666
RandomForestClassifier,0.12414355278015136,0.01966071128845215,0.5761050172328368,0.6438095238095237,0.7866117216117218,0.6438095238095237,0.42105263157894735,0.3888888888888889,1.0,0.56,0.1800205749557739,1.0,0.08333333333333333
BaggingClassifier,0.3963157176971436,0.17451262474060059,0.550385812444636,0.5885714285714284,0.6753593073593074,0.5885714285714284,0.5263157894736842,0.3333333333333333,0.2857142857142857,0.3076923076923077,-0.049416621110740085,0.2857142857142857,0.6666666666666666
AdaBoostClassifier,2.194189357757568,0.05515923500061035,0.6132764993291309,0.6419047619047618,0.7209801309801309,0.6419047619047618,0.5789473684210527,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.09523809523809523,0.42857142857142855,0.6666666666666666
GradientBoostingClassifier,5.237197589874268,0.005843067169189453,0.5823455861876914,0.6295238095238095,0.7617765567765569,0.6295238095238095,0.5789473684210527,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.09523809523809523,0.42857142857142855,0.6666666666666666
HistGradientBoostingClassifier,5.266391372680664,0.005591821670532226,0.3723922454357237,0.5342857142857144,0.2859727891156462,0.5342857142857144,0.3684210526315789,0.3684210526315789,1.0,0.5384615384615384,0.0,1.0,0.0
ExtraTrees-ensemble,0.11203551292419434,0.018018817901611327,0.6306908685856054,0.6695238095238095,0.7969902319902321,0.6695238095238095,0.6842105263157895,0.6666666666666666,0.2857142857142857,0.4,0.2677248350482026,0.2857142857142857,0.9166666666666666
XGBClassifier,2.270373821258545,0.032869148254394534,0.46068376068376066,0.5333333333333333,0.5341025641025641,0.5333333333333333,0.5263157894736842,0.3333333333333333,0.2857142857142857,0.3076923076923077,-0.049416621110740085,0.2857142857142857,0.6666666666666666
LGBMClassifier,0.17907519340515138,0.008219337463378907,0.3723922454357237,0.5342857142857144,0.2859727891156462,0.5342857142857144,0.3684210526315789,0.3684210526315789,1.0,0.5384615384615384,0.0,1.0,0.0
