algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0326347827911377,0.014369964599609375,0.5718888888888889,0.6171428571428571,0.7362237762237763,0.6171428571428571,0.47368421052631576,0.5294117647058824,0.8181818181818182,0.6428571428571429,-0.29250896965085227,0.8181818181818182,0.0
RidgeClassifier,0.01457371711730957,0.007036447525024414,0.6141980894922072,0.6295238095238095,0.6526952861952863,0.6295238095238095,0.47368421052631576,0.5384615384615384,0.6363636363636364,0.5833333333333334,-0.1207011373963169,0.6363636363636364,0.25
LogisticRegression,0.18456110954284669,0.007288742065429688,0.6567073930541423,0.6714285714285715,0.7253215488215489,0.6714285714285715,0.631578947368421,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.2326210525996177,0.7272727272727273,0.5
SGDClassifier,0.035091733932495116,0.007237625122070312,0.619935286935287,0.6314285714285715,0.673543771043771,0.6314285714285715,0.631578947368421,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.2326210525996177,0.7272727272727273,0.5
LinearDiscriminantAnalysis,0.23761730194091796,0.007552957534790039,0.6532978682823883,0.6580952380952381,0.6632359307359307,0.6580952380952381,0.631578947368421,0.75,0.5454545454545454,0.631578947368421,0.29545454545454547,0.5454545454545454,0.75
QuadraticDiscriminantAnalysis,0.05878300666809082,0.012056589126586914,0.48420158178470196,0.562857142857143,0.4910484330484331,0.562857142857143,0.42105263157894735,0.5,0.45454545454545453,0.47619047619047616,-0.1685499656158105,0.45454545454545453,0.375
SVC,0.016463088989257812,0.02552657127380371,0.5286216931216932,0.5619047619047619,0.6244185444185444,0.5619047619047619,0.6842105263157895,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.4303489473092928,0.5454545454545454,0.875
KNeighborsClassifier,0.0016336917877197265,0.01825556755065918,0.3054545454545454,0.4666666666666667,0.2271111111111111,0.4666666666666667,0.47368421052631576,0.5294117647058824,0.8181818181818182,0.6428571428571429,-0.29250896965085227,0.8181818181818182,0.0
GaussianNB,0.012081623077392578,0.006707763671875,0.6779762789669911,0.6857142857142857,0.7188576238576239,0.6857142857142857,0.6842105263157895,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.3522727272727273,0.7272727272727273,0.625
DecisionTreeClassifier,0.020837783813476562,0.004948282241821289,0.5524854557207497,0.5619047619047619,0.5715031265031265,0.5619047619047619,0.3157894736842105,0.4,0.36363636363636365,0.38095238095238093,-0.3820465887291705,0.36363636363636365,0.25
ExtraTreeClassifier,0.003777313232421875,0.004604148864746094,0.5817379515908927,0.5885714285714284,0.6017027417027416,0.5885714285714284,0.5263157894736842,0.6,0.5454545454545454,0.5714285714285714,0.044946657497549475,0.5454545454545454,0.5
RandomForestClassifier,0.09433193206787109,0.01667819023132324,0.5540243648680181,0.5733333333333334,0.5865858585858587,0.5733333333333334,0.631578947368421,0.7,0.6363636363636364,0.6666666666666666,0.2584432806109095,0.6363636363636364,0.625
BaggingClassifier,0.16396045684814453,0.14445185661315918,0.5795706145706145,0.5885714285714285,0.5972205387205387,0.5885714285714285,0.5263157894736842,0.625,0.45454545454545453,0.5263157894736842,0.07954545454545454,0.45454545454545453,0.625
AdaBoostClassifier,0.3987525463104248,0.02164154052734375,0.6136446886446886,0.6152380952380951,0.6187962962962963,0.6152380952380951,0.47368421052631576,0.5555555555555556,0.45454545454545453,0.5,-0.044946657497549475,0.45454545454545453,0.5
GradientBoostingClassifier,1.170738983154297,0.004923105239868164,0.5746575091575091,0.5895238095238096,0.6322273097273097,0.5895238095238096,0.5789473684210527,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.1086310236566852,0.7272727272727273,0.375
HistGradientBoostingClassifier,1.3054900646209717,0.005804729461669922,0.47205800545954,0.562857142857143,0.47409246309246306,0.562857142857143,0.5789473684210527,1.0,0.2727272727272727,0.42857142857142855,0.3692744729379982,0.2727272727272727,1.0
ExtraTrees-ensemble,0.08051047325134278,0.01654477119445801,0.561005291005291,0.5866666666666667,0.5962020202020202,0.5866666666666667,0.631578947368421,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.2326210525996177,0.7272727272727273,0.5
XGBClassifier,0.26352572441101074,0.009037494659423828,0.6502564102564101,0.6580952380952381,0.6662121212121213,0.6580952380952381,0.47368421052631576,0.5454545454545454,0.5454545454545454,0.5454545454545454,-0.07954545454545454,0.5454545454545454,0.375
LGBMClassifier,0.055361461639404294,0.006331729888916016,0.47205800545954,0.562857142857143,0.47409246309246306,0.562857142857143,0.5789473684210527,1.0,0.2727272727272727,0.42857142857142855,0.3692744729379982,0.2727272727272727,1.0
