algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.003663301467895508,0.004975080490112305,0.33446640316205534,0.4923809523809523,0.25348717948717947,0.4923809523809523,0.5263157894736842,1.0,0.1,0.18181818181818182,0.22360679774997896,0.1,1.0
RidgeClassifier,0.0017885684967041016,0.004340505599975586,0.583863848569731,0.5895238095238096,0.5971428571428572,0.5895238095238096,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
LogisticRegression,0.015443515777587891,0.003975486755371094,0.6102634517185601,0.6171428571428571,0.6397041847041847,0.6171428571428571,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
SGDClassifier,0.001903533935546875,0.00434269905090332,0.4812256886560292,0.5352380952380952,0.5299090909090909,0.5352380952380952,0.631578947368421,0.6363636363636364,0.7,0.6666666666666666,0.2584432806109095,0.7,0.5555555555555556
LinearDiscriminantAnalysis,0.006840229034423828,0.006612539291381836,0.6569360051712991,0.658095238095238,0.6595899470899471,0.658095238095238,0.631578947368421,0.6363636363636364,0.7,0.6666666666666666,0.2584432806109095,0.7,0.5555555555555556
QuadraticDiscriminantAnalysis,0.0042917728424072266,0.00666966438293457,0.5969842466901291,0.6028571428571429,0.604,0.6028571428571429,0.631578947368421,0.7142857142857143,0.5,0.5882352941176471,0.2875273163926476,0.5,0.7777777777777778
SVC,0.0023678302764892577,0.007253313064575195,0.631068783068783,0.6571428571428571,0.7215873015873016,0.6571428571428571,0.6842105263157895,0.8333333333333334,0.5,0.625,0.41773367652300253,0.5,0.8888888888888888
KNeighborsClassifier,0.0005855083465576172,0.004677104949951172,0.5995454545454546,0.6057142857142856,0.617037037037037,0.6057142857142856,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,0.05555555555555555,0.5,0.5555555555555556
GaussianNB,0.0010310649871826173,0.004404211044311523,0.3441831852358168,0.43809523809523815,0.3018552188552188,0.43809523809523815,0.7368421052631579,0.6666666666666666,1.0,0.8,0.5443310539518174,1.0,0.4444444444444444
DecisionTreeClassifier,0.004816627502441407,0.0043541908264160155,0.6242905623787977,0.6314285714285715,0.6477037037037037,0.6314285714285715,0.7368421052631579,0.7777777777777778,0.7,0.7368421052631579,0.4777777777777778,0.7,0.7777777777777778
ExtraTreeClassifier,0.0007937908172607422,0.004235267639160156,0.5532579185520362,0.559047619047619,0.5634708994708995,0.559047619047619,0.5263157894736842,0.6,0.3,0.4,0.08819171036881969,0.3,0.7777777777777778
RandomForestClassifier,0.09189600944519043,0.016274356842041017,0.633453486085065,0.658095238095238,0.7110930735930736,0.658095238095238,0.8421052631578947,1.0,0.7,0.8235294117647058,0.724568837309472,0.7,1.0
BaggingClassifier,0.024509334564208986,0.019609737396240234,0.6131225419460713,0.6314285714285713,0.658080808080808,0.6314285714285713,0.6842105263157895,0.8333333333333334,0.5,0.625,0.41773367652300253,0.5,0.8888888888888888
AdaBoostClassifier,0.10931849479675293,0.009082746505737305,0.7378754578754579,0.74,0.7479629629629629,0.74,0.6842105263157895,0.8333333333333334,0.5,0.625,0.41773367652300253,0.5,0.8888888888888888
GradientBoostingClassifier,0.4321281433105469,0.0043792724609375,0.6540136823960354,0.6571428571428571,0.6701111111111111,0.6571428571428571,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
HistGradientBoostingClassifier,0.04662818908691406,0.005119991302490234,0.7021178266178267,0.7133333333333333,0.7534090909090908,0.7133333333333333,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598,0.6,0.8888888888888888
ExtraTrees-ensemble,0.06687588691711426,0.016515254974365234,0.5848882783882784,0.6028571428571429,0.6146509971509971,0.6028571428571429,0.631578947368421,0.7142857142857143,0.5,0.5882352941176471,0.2875273163926476,0.5,0.7777777777777778
XGBClassifier,0.027660560607910157,0.00553278923034668,0.7096062271062271,0.7114285714285715,0.7207407407407407,0.7114285714285715,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598,0.6,0.8888888888888888
LGBMClassifier,0.023424482345581053,0.006663179397583008,0.7261856280973928,0.7276190476190476,0.7401058201058202,0.7276190476190476,0.7368421052631579,0.7777777777777778,0.7,0.7368421052631579,0.4777777777777778,0.7,0.7777777777777778
