algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0029308319091796873,0.004090309143066406,0.29627705627705625,0.46571428571428564,0.2174013605442177,0.46571428571428564,0.631578947368421,0.0,0.0,0.0,0.0,0.0,1.0
RidgeClassifier,0.0015816211700439454,0.003557300567626953,0.5400976148034972,0.6028571428571429,0.524750566893424,0.6028571428571429,0.7368421052631579,0.6,0.8571428571428571,0.7058823529411765,0.5060480768510598,0.8571428571428571,0.6666666666666666
LogisticRegression,0.017583227157592772,0.0046120166778564455,0.6375925925925927,0.6438095238095238,0.6675949975949976,0.6438095238095238,0.7894736842105263,0.6666666666666666,0.8571428571428571,0.75,0.5865557254410011,0.8571428571428571,0.75
SGDClassifier,0.00164337158203125,0.003717517852783203,0.5692784231019525,0.5752380952380952,0.5744232804232804,0.5752380952380952,0.8947368421052632,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7738095238095238,0.8571428571428571,0.9166666666666666
LinearDiscriminantAnalysis,0.006782150268554688,0.006374931335449219,0.6099283356249301,0.6428571428571428,0.6629522329522329,0.6428571428571428,0.631578947368421,0.5,0.7142857142857143,0.5882352941176471,0.2875273163926476,0.7142857142857143,0.5833333333333334
QuadraticDiscriminantAnalysis,0.004472589492797852,0.006778335571289063,0.6541736694677871,0.6599999999999999,0.6630687830687831,0.6599999999999999,0.5789473684210527,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.20935894733965593,0.7142857142857143,0.5
SVC,0.0024044036865234373,0.007407140731811523,0.5287817699717013,0.6161904761904762,0.5694172335600907,0.6161904761904762,0.47368421052631576,0.4,0.8571428571428571,0.5454545454545454,0.1267731382092775,0.8571428571428571,0.25
KNeighborsClassifier,0.0006993293762207031,0.006725502014160156,0.3723922454357237,0.5342857142857144,0.2859727891156462,0.5342857142857144,0.3684210526315789,0.3684210526315789,1.0,0.5384615384615384,0.0,1.0,0.0
GaussianNB,0.001144266128540039,0.004753208160400391,0.4191379634857896,0.5466666666666666,0.4769202860631432,0.5466666666666666,0.3684210526315789,0.3684210526315789,1.0,0.5384615384615384,0.0,1.0,0.0
DecisionTreeClassifier,0.005004405975341797,0.004468774795532227,0.6543080993080992,0.6580952380952381,0.6612789115646258,0.6580952380952381,0.8421052631578947,1.0,0.5714285714285714,0.7272727272727273,0.6761234037828132,0.5714285714285714,1.0
ExtraTreeClassifier,0.0008008480072021484,0.004285287857055664,0.6815245435678873,0.6857142857142857,0.6979052429052429,0.6857142857142857,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.32142857142857145,0.5714285714285714,0.75
RandomForestClassifier,0.09016427993774415,0.023054027557373048,0.6703016877629882,0.6857142857142857,0.7262644022644024,0.6857142857142857,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.32142857142857145,0.5714285714285714,0.75
BaggingClassifier,0.020226287841796874,0.020966482162475587,0.6649348587429083,0.6847619047619047,0.7018470418470418,0.6847619047619047,0.5263157894736842,0.375,0.42857142857142855,0.4,0.011631052629980886,0.42857142857142855,0.5833333333333334
AdaBoostClassifier,0.09268355369567871,0.007874631881713867,0.6779932849105782,0.6990476190476189,0.7336846486846487,0.6990476190476189,0.631578947368421,0.5,0.5714285714285714,0.5333333333333333,0.2326210525996177,0.5714285714285714,0.6666666666666666
GradientBoostingClassifier,0.3674604892730713,0.003742694854736328,0.6666823916823917,0.6733333333333333,0.6827936507936508,0.6733333333333333,0.7368421052631579,0.625,0.7142857142857143,0.6666666666666666,0.45361105256925455,0.7142857142857143,0.75
HistGradientBoostingClassifier,0.04180326461791992,0.004685115814208984,0.7480566606882396,0.7552380952380953,0.7683311688311688,0.7552380952380953,0.631578947368421,0.5,0.8571428571428571,0.631578947368421,0.35714285714285715,0.8571428571428571,0.5
ExtraTrees-ensemble,0.06328072547912597,0.01607518196105957,0.7200735281230637,0.7247619047619047,0.7456022126022127,0.7247619047619047,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.32142857142857145,0.5714285714285714,0.75
XGBClassifier,0.03089761734008789,0.006057071685791016,0.6870728165310208,0.6980952380952381,0.7085367965367965,0.6980952380952381,0.5789473684210527,0.46153846153846156,0.8571428571428571,0.6,0.28414557138675545,0.8571428571428571,0.4166666666666667
LGBMClassifier,0.017820072174072266,0.0060230731964111325,0.7950676774206187,0.7961904761904762,0.7990343915343916,0.7961904761904762,0.631578947368421,0.5,0.8571428571428571,0.631578947368421,0.35714285714285715,0.8571428571428571,0.5
