algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0030737876892089843,0.003999567031860352,0.5865802824626354,0.6180952380952381,0.6886645021645021,0.6180952380952381,0.6842105263157895,0.625,1.0,0.7692307692307693,0.45643546458763845,1.0,0.3333333333333333
RidgeClassifier,0.0015089988708496093,0.003589963912963867,0.6151080346668583,0.6304761904761905,0.6701489621489621,0.6304761904761905,0.631578947368421,0.6153846153846154,0.8,0.6956521739130435,0.26257545381445874,0.8,0.4444444444444444
LogisticRegression,0.011543798446655273,0.004944467544555664,0.576836431542314,0.6047619047619047,0.6578667628667629,0.6047619047619047,0.5789473684210527,0.5714285714285714,0.8,0.6666666666666666,0.15118578920369088,0.8,0.3333333333333333
SGDClassifier,0.0027440071105957033,0.004297447204589844,0.6540655807900391,0.6857142857142857,0.791034188034188,0.6857142857142857,0.631578947368421,0.6,0.9,0.72,0.2857738033247041,0.9,0.3333333333333333
LinearDiscriminantAnalysis,0.008747148513793945,0.006735610961914063,0.7508903133903135,0.7533333333333333,0.7643730158730158,0.7533333333333333,0.631578947368421,0.6153846153846154,0.8,0.6956521739130435,0.26257545381445874,0.8,0.4444444444444444
QuadraticDiscriminantAnalysis,0.005547857284545899,0.006802654266357422,0.6089740546691012,0.6333333333333333,0.6678148148148149,0.6333333333333333,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
SVC,0.002328824996948242,0.006914758682250976,0.566329862088376,0.6028571428571428,0.6792279942279942,0.6028571428571428,0.631578947368421,0.5882352941176471,1.0,0.7407407407407407,0.3615507630310936,1.0,0.2222222222222222
KNeighborsClassifier,0.0006469249725341797,0.007490873336791992,0.6449953575835929,0.6571428571428571,0.6903888888888888,0.6571428571428571,0.5789473684210527,0.5625,0.9,0.6923076923076923,0.16735967034880075,0.9,0.2222222222222222
GaussianNB,0.0008869647979736328,0.0036522388458251954,0.6847472843061079,0.7142857142857143,0.8030937950937952,0.7142857142857143,0.6842105263157895,0.625,1.0,0.7692307692307693,0.45643546458763845,1.0,0.3333333333333333
DecisionTreeClassifier,0.012182950973510742,0.00362548828125,0.5524503489286771,0.5609523809523809,0.5608537758537759,0.5609523809523809,0.5789473684210527,0.6,0.6,0.6,0.15555555555555556,0.6,0.5555555555555556
ExtraTreeClassifier,0.0006705284118652344,0.0035166263580322264,0.5947857142857144,0.6019047619047619,0.6221428571428571,0.6019047619047619,0.631578947368421,0.5882352941176471,1.0,0.7407407407407407,0.3615507630310936,1.0,0.2222222222222222
RandomForestClassifier,0.09225349426269532,0.016359758377075196,0.6922345198660987,0.6980952380952381,0.711489898989899,0.6980952380952381,0.631578947368421,0.6,0.9,0.72,0.2857738033247041,0.9,0.3333333333333333
BaggingClassifier,0.028639698028564455,0.021030235290527343,0.679377377008956,0.6847619047619047,0.6951406926406927,0.6847619047619047,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
AdaBoostClassifier,0.3050342082977295,0.008187389373779297,0.6935102874421759,0.6971428571428571,0.7092424242424242,0.6971428571428571,0.631578947368421,0.6153846153846154,0.8,0.6956521739130435,0.26257545381445874,0.8,0.4444444444444444
GradientBoostingClassifier,1.3073555469512939,0.0038631439208984377,0.6701932054873232,0.6752380952380953,0.6830555555555555,0.6752380952380953,0.5789473684210527,0.6,0.6,0.6,0.15555555555555556,0.6,0.5555555555555556
HistGradientBoostingClassifier,0.04726653099060059,0.004989004135131836,0.7482208477796715,0.7533333333333333,0.7705555555555554,0.7533333333333333,0.631578947368421,0.6,0.9,0.72,0.2857738033247041,0.9,0.3333333333333333
ExtraTrees-ensemble,0.06421899795532227,0.0163118839263916,0.733093449378279,0.739047619047619,0.7601948051948053,0.739047619047619,0.6842105263157895,0.625,1.0,0.7692307692307693,0.45643546458763845,1.0,0.3333333333333333
XGBClassifier,0.05156521797180176,0.005955410003662109,0.6741945364004188,0.6828571428571427,0.7003333333333333,0.6828571428571427,0.631578947368421,0.5882352941176471,1.0,0.7407407407407407,0.3615507630310936,1.0,0.2222222222222222
LGBMClassifier,0.046598958969116214,0.006678247451782226,0.7149763743881392,0.7238095238095237,0.7437777777777776,0.7238095238095237,0.6842105263157895,0.6428571428571429,0.9,0.75,0.3905632887762015,0.9,0.4444444444444444
