algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.010425853729248046,0.006953811645507813,0.749076648096772,0.7685714285714285,0.8295659895659897,0.7685714285714285,0.6842105263157895,0.5384615384615384,1.0,0.7,0.5188745216627708,1.0,0.5
RidgeClassifier,0.003690767288208008,0.004867362976074219,0.7654466640457352,0.7819047619047619,0.836030636030636,0.7819047619047619,0.8421052631578947,0.7,1.0,0.8235294117647058,0.724568837309472,1.0,0.75
LogisticRegression,0.12566075325012208,0.013002729415893555,0.7654466640457352,0.7819047619047619,0.836030636030636,0.7819047619047619,0.7894736842105263,0.6363636363636364,1.0,0.7777777777777778,0.6513389472789296,1.0,0.6666666666666666
SGDClassifier,0.006034994125366211,0.004292011260986328,0.8046704173019963,0.8085714285714285,0.8179978354978354,0.8085714285714285,0.7894736842105263,0.6666666666666666,0.8571428571428571,0.75,0.5865557254410011,0.8571428571428571,0.75
LinearDiscriminantAnalysis,0.1312582015991211,0.012114715576171876,0.732965404965405,0.74,0.7616349206349208,0.74,0.7368421052631579,0.6,0.8571428571428571,0.7058823529411765,0.5060480768510598,0.8571428571428571,0.6666666666666666
QuadraticDiscriminantAnalysis,0.0436436653137207,0.009232473373413087,0.7367291531997415,0.74,0.7592169312169312,0.74,0.8947368421052632,0.7777777777777778,1.0,0.875,0.8050764858994133,1.0,0.8333333333333334
SVC,0.006504440307617187,0.009345245361328126,0.749076648096772,0.7685714285714285,0.8295659895659897,0.7685714285714285,0.6842105263157895,0.5384615384615384,1.0,0.7,0.5188745216627708,1.0,0.5
KNeighborsClassifier,0.0010210037231445312,0.005210018157958985,0.749076648096772,0.7685714285714285,0.8295659895659897,0.7685714285714285,0.6842105263157895,0.5384615384615384,1.0,0.7,0.5188745216627708,1.0,0.5
GaussianNB,0.0034412860870361326,0.004948663711547852,0.749076648096772,0.7685714285714285,0.8295659895659897,0.7685714285714285,0.631578947368421,0.5,0.8571428571428571,0.631578947368421,0.35714285714285715,0.8571428571428571,0.5
DecisionTreeClassifier,0.05000848770141601,0.004494857788085937,0.7258698436639612,0.7285714285714285,0.7388873771730914,0.7285714285714285,0.5789473684210527,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.09523809523809523,0.42857142857142855,0.6666666666666666
ExtraTreeClassifier,0.0015433788299560546,0.004257059097290039,0.7248502764292237,0.739047619047619,0.7886929736929739,0.739047619047619,0.7368421052631579,0.625,0.7142857142857143,0.6666666666666666,0.45361105256925455,0.7142857142857143,0.75
RandomForestClassifier,0.1115187644958496,0.01713876724243164,0.7953091693881167,0.8095238095238095,0.8577564657564658,0.8095238095238095,0.631578947368421,0.5,0.8571428571428571,0.631578947368421,0.35714285714285715,0.8571428571428571,0.5
BaggingClassifier,0.1688462257385254,0.01534423828125,0.7638145202464088,0.7685714285714286,0.790537208822923,0.7685714285714286,0.631578947368421,0.5,0.8571428571428571,0.631578947368421,0.35714285714285715,0.8571428571428571,0.5
AdaBoostClassifier,1.427823257446289,0.011912059783935548,0.8154228846488909,0.8209523809523809,0.8472582972582972,0.8209523809523809,0.7894736842105263,0.6666666666666666,0.8571428571428571,0.75,0.5865557254410011,0.8571428571428571,0.75
GradientBoostingClassifier,5.474551391601563,0.0048771858215332035,0.7548890325360913,0.7561904761904762,0.7592762660619803,0.7561904761904762,0.5789473684210527,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.09523809523809523,0.42857142857142855,0.6666666666666666
HistGradientBoostingClassifier,0.2840890407562256,0.0072967529296875,0.8092625798121154,0.8228571428571427,0.8672379472379472,0.8228571428571427,0.6842105263157895,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.4303489473092928,0.8571428571428571,0.5833333333333334
ExtraTrees-ensemble,0.0731396198272705,0.01717381477355957,0.7952251506663272,0.8085714285714285,0.8515457875457877,0.8085714285714285,0.7894736842105263,0.6666666666666666,0.8571428571428571,0.75,0.5865557254410011,0.8571428571428571,0.75
XGBClassifier,0.5672523498535156,0.008631229400634766,0.7822861738651212,0.7952380952380953,0.8395263070263072,0.7952380952380953,0.8421052631578947,0.7,1.0,0.8235294117647058,0.724568837309472,1.0,0.75
LGBMClassifier,0.5365712642669678,0.008840513229370118,0.7832210491034021,0.7942857142857143,0.825380254665969,0.7942857142857143,0.7368421052631579,0.5833333333333334,1.0,0.7368421052631579,0.5833333333333334,1.0,0.5833333333333334
