algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.002986764907836914,0.0038921356201171873,0.749076648096772,0.7685714285714285,0.8295659895659897,0.7685714285714285,0.7894736842105263,0.6363636363636364,1.0,0.7777777777777778,0.6513389472789296,1.0,0.6666666666666666
RidgeClassifier,0.0014723777770996095,0.0035376548767089844,0.8101984126984126,0.8228571428571427,0.8655140415140415,0.8228571428571427,0.8421052631578947,0.7,1.0,0.8235294117647058,0.724568837309472,1.0,0.75
LogisticRegression,0.011704444885253906,0.006142520904541015,0.7803359073560312,0.7952380952380953,0.8437882117882118,0.7952380952380953,0.7894736842105263,0.6363636363636364,1.0,0.7777777777777778,0.6513389472789296,1.0,0.6666666666666666
SGDClassifier,0.0021764755249023436,0.003966379165649414,0.7626051141840616,0.7676190476190475,0.7894646464646465,0.7676190476190475,0.7368421052631579,0.625,0.7142857142857143,0.6666666666666666,0.45361105256925455,0.7142857142857143,0.75
LinearDiscriminantAnalysis,0.009180641174316407,0.006936883926391602,0.7564374840845429,0.7571428571428571,0.7641269841269841,0.7571428571428571,0.7894736842105263,0.6666666666666666,0.8571428571428571,0.75,0.5865557254410011,0.8571428571428571,0.75
QuadraticDiscriminantAnalysis,0.005782127380371094,0.007385396957397461,0.6061373920197449,0.6133333333333333,0.6204497354497354,0.6133333333333333,0.7368421052631579,0.625,0.7142857142857143,0.6666666666666666,0.45361105256925455,0.7142857142857143,0.75
SVC,0.0023786544799804686,0.007161140441894531,0.749076648096772,0.7685714285714285,0.8295659895659897,0.7685714285714285,0.6842105263157895,0.5384615384615384,1.0,0.7,0.5188745216627708,1.0,0.5
KNeighborsClassifier,0.0006271839141845703,0.005235719680786133,0.7870901667418696,0.7952380952380952,0.8226926406926406,0.7952380952380952,0.7894736842105263,0.6363636363636364,1.0,0.7777777777777778,0.6513389472789296,1.0,0.6666666666666666
GaussianNB,0.0010650634765625,0.004478311538696289,0.749076648096772,0.7685714285714285,0.8295659895659897,0.7685714285714285,0.7368421052631579,0.6,0.8571428571428571,0.7058823529411765,0.5060480768510598,0.8571428571428571,0.6666666666666666
DecisionTreeClassifier,0.015246248245239258,0.0044116973876953125,0.7258090928679164,0.7276190476190476,0.7365714285714287,0.7276190476190476,0.8947368421052632,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7738095238095238,0.8571428571428571,0.9166666666666666
ExtraTreeClassifier,0.000805807113647461,0.004317665100097656,0.7786376259905672,0.78,0.7933000755857899,0.78,0.631578947368421,0.5,0.42857142857142855,0.46153846153846156,0.18531232916527532,0.42857142857142855,0.75
RandomForestClassifier,0.09187769889831543,0.016436767578125,0.7779193018310666,0.7952380952380952,0.846805046805047,0.7952380952380952,0.8421052631578947,0.75,0.8571428571428571,0.8,0.6746010525388914,0.8571428571428571,0.8333333333333334
BaggingClassifier,0.023599767684936525,0.01507711410522461,0.7477236385905116,0.7542857142857142,0.787537518037518,0.7542857142857142,0.8947368421052632,1.0,0.7142857142857143,0.8333333333333334,0.7824607964359516,0.7142857142857143,1.0
AdaBoostClassifier,0.31305861473083496,0.008034133911132812,0.7463228389544179,0.7533333333333333,0.7784632034632034,0.7533333333333333,0.8947368421052632,1.0,0.7142857142857143,0.8333333333333334,0.7824607964359516,0.7142857142857143,1.0
GradientBoostingClassifier,1.279679250717163,0.003917407989501953,0.8189378165693956,0.8228571428571427,0.8371550539407682,0.8228571428571427,0.6842105263157895,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.32142857142857145,0.5714285714285714,0.75
HistGradientBoostingClassifier,0.045912885665893556,0.005093812942504883,0.7791573519359897,0.7838095238095238,0.798910533910534,0.7838095238095238,0.8947368421052632,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7738095238095238,0.8571428571428571,0.9166666666666666
ExtraTrees-ensemble,0.0684849739074707,0.01612825393676758,0.7965859684977333,0.8085714285714285,0.843789173789174,0.8085714285714285,0.8947368421052632,0.7777777777777778,1.0,0.875,0.8050764858994133,1.0,0.8333333333333334
XGBClassifier,0.05312681198120117,0.006796026229858398,0.7308756613756614,0.740952380952381,0.7617936507936507,0.740952380952381,0.9473684210526315,0.875,1.0,0.9333333333333333,0.8955910525085282,1.0,0.9166666666666666
LGBMClassifier,0.04204192161560059,0.007556390762329101,0.7505586956902747,0.7552380952380953,0.7726180169037311,0.7552380952380953,0.8947368421052632,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7738095238095238,0.8571428571428571,0.9166666666666666
