algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0030591487884521484,0.004006385803222656,0.7647934472934473,0.7685714285714286,0.7814444444444445,0.7685714285714286,0.42105263157894735,0.38461538461538464,0.625,0.47619047619047616,-0.1086310236566852,0.625,0.2727272727272727
RidgeClassifier,0.0024237632751464844,0.0038652420043945312,0.7792989417989418,0.7828571428571429,0.7945396825396825,0.7828571428571429,0.5263157894736842,0.45454545454545453,0.625,0.5263157894736842,0.07954545454545454,0.625,0.45454545454545453
LogisticRegression,0.011405324935913086,0.004056406021118164,0.7373941798941799,0.740952380952381,0.7538253968253967,0.740952380952381,0.42105263157894735,0.36363636363636365,0.5,0.42105263157894735,-0.13636363636363635,0.5,0.36363636363636365
SGDClassifier,0.002348470687866211,0.004275178909301758,0.8201771050300461,0.8228571428571427,0.8318730158730159,0.8228571428571427,0.631578947368421,0.5384615384615384,0.875,0.6666666666666666,0.35003329844931896,0.875,0.45454545454545453
LinearDiscriminantAnalysis,0.00961761474609375,0.006723594665527344,0.7816849816849817,0.7819047619047619,0.7845238095238095,0.7819047619047619,0.7368421052631579,0.6363636363636364,0.875,0.7368421052631579,0.5113636363636364,0.875,0.6363636363636364
QuadraticDiscriminantAnalysis,0.005604314804077149,0.006888580322265625,0.6953612128612129,0.7,0.730491822991823,0.7,0.7368421052631579,0.6666666666666666,0.75,0.7058823529411765,0.47193990372426947,0.75,0.7272727272727273
SVC,0.002207040786743164,0.007219076156616211,0.7514601139601138,0.7552380952380953,0.7693015873015873,0.7552380952380953,0.47368421052631576,0.4166666666666667,0.625,0.5,-0.011631052629980886,0.625,0.36363636363636365
KNeighborsClassifier,0.0006855487823486328,0.007866144180297852,0.7097875816993463,0.7133333333333333,0.7222089947089947,0.7133333333333333,0.47368421052631576,0.4166666666666667,0.625,0.5,-0.011631052629980886,0.625,0.36363636363636365
GaussianNB,0.001192760467529297,0.004461812973022461,0.7479457361810302,0.7533333333333333,0.7722645502645502,0.7533333333333333,0.47368421052631576,0.4166666666666667,0.625,0.5,-0.011631052629980886,0.625,0.36363636363636365
DecisionTreeClassifier,0.01328582763671875,0.004443359375,0.7352913752913752,0.739047619047619,0.7539814814814815,0.739047619047619,0.6842105263157895,0.5833333333333334,0.875,0.7,0.4303489473092928,0.875,0.5454545454545454
ExtraTreeClassifier,0.0008084297180175782,0.004280757904052734,0.6670384517443342,0.6714285714285715,0.6807671957671958,0.6714285714285715,0.631578947368421,0.5714285714285714,0.5,0.5333333333333333,0.2326210525996177,0.5,0.7272727272727273
RandomForestClassifier,0.09132261276245117,0.017051506042480468,0.8072225214872274,0.8095238095238095,0.8219470899470901,0.8095238095238095,0.5263157894736842,0.46153846153846156,0.75,0.5714285714285714,0.1207011373963169,0.75,0.36363636363636365
BaggingClassifier,0.028545904159545898,0.023407840728759767,0.7478372994394666,0.7542857142857143,0.7734343434343434,0.7542857142857143,0.5789473684210527,0.5,0.75,0.6,0.20935894733965593,0.75,0.45454545454545453
AdaBoostClassifier,0.35550522804260254,0.009290790557861328,0.7510981230098878,0.7552380952380953,0.760851851851852,0.7552380952380953,0.5789473684210527,0.5,0.75,0.6,0.20935894733965593,0.75,0.45454545454545453
GradientBoostingClassifier,1.2613516807556153,0.004437541961669922,0.8489462879168762,0.8504761904761905,0.8666164021164022,0.8504761904761905,0.6842105263157895,0.5833333333333334,0.875,0.7,0.4303489473092928,0.875,0.5454545454545454
HistGradientBoostingClassifier,0.05355467796325684,0.005481290817260742,0.8067063492063491,0.8095238095238095,0.815873015873016,0.8095238095238095,0.5263157894736842,0.45454545454545453,0.625,0.5263157894736842,0.07954545454545454,0.625,0.45454545454545453
ExtraTrees-ensemble,0.06403460502624511,0.016578006744384765,0.8074470899470899,0.8095238095238095,0.8265396825396826,0.8095238095238095,0.631578947368421,0.5384615384615384,0.875,0.6666666666666666,0.35003329844931896,0.875,0.45454545454545453
XGBClassifier,0.05197911262512207,0.006263160705566406,0.8614396130185604,0.8638095238095238,0.8765043290043291,0.8638095238095238,0.6842105263157895,0.5833333333333334,0.875,0.7,0.4303489473092928,0.875,0.5454545454545454
LGBMClassifier,0.0464017391204834,0.007097911834716797,0.8068437716967128,0.8095238095238095,0.8202063492063493,0.8095238095238095,0.631578947368421,0.5384615384615384,0.875,0.6666666666666666,0.35003329844931896,0.875,0.45454545454545453
