algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.0028923988342285157,0.004103565216064453,0.7480555555555556,0.7542857142857143,0.7724444444444444,0.7542857142857143,0.631578947368421,0.5454545454545454,0.75,0.631578947368421,0.29545454545454547,0.75,0.5454545454545454
RidgeClassifier,0.0015600204467773437,0.0037028312683105467,0.7621075725100492,0.7657142857142858,0.7798905723905725,0.7657142857142858,0.7368421052631579,0.6363636363636364,0.875,0.7368421052631579,0.5113636363636364,0.875,0.6363636363636364
LogisticRegression,0.024093198776245116,0.006273841857910157,0.832557846636794,0.8361904761904763,0.8602106782106782,0.8361904761904763,0.6842105263157895,0.5833333333333334,0.875,0.7,0.4303489473092928,0.875,0.5454545454545454
SGDClassifier,0.002607107162475586,0.004250907897949218,0.6532733823910296,0.6961904761904762,0.7825392755392755,0.6961904761904762,0.5789473684210527,0.5,0.5,0.5,0.13636363636363635,0.5,0.6363636363636364
LinearDiscriminantAnalysis,0.008303594589233399,0.006623744964599609,0.7289549666020254,0.7304761904761905,0.7327116402116403,0.7304761904761905,0.7894736842105263,0.75,0.75,0.75,0.5681818181818182,0.75,0.8181818181818182
QuadraticDiscriminantAnalysis,0.005688953399658203,0.0070839405059814455,0.7066721513780337,0.7104761904761905,0.721547619047619,0.7104761904761905,0.6842105263157895,0.5833333333333334,0.875,0.7,0.4303489473092928,0.875,0.5454545454545454
SVC,0.002134418487548828,0.007155942916870117,0.768209489111966,0.7819047619047619,0.8217979797979797,0.7819047619047619,0.5263157894736842,0.4666666666666667,0.875,0.6086956521739131,0.1789066118330336,0.875,0.2727272727272727
KNeighborsClassifier,0.0005971431732177734,0.006358194351196289,0.7589930001772107,0.7676190476190476,0.7866262626262626,0.7676190476190476,0.5789473684210527,0.5,0.875,0.6363636363636364,0.26756477550475344,0.875,0.36363636363636365
GaussianNB,0.0010449409484863282,0.00445103645324707,0.7777647896765544,0.7819047619047619,0.7955185185185185,0.7819047619047619,0.47368421052631576,0.42857142857142855,0.75,0.5454545454545454,0.025482359571881278,0.75,0.2727272727272727
DecisionTreeClassifier,0.013512468338012696,0.004435682296752929,0.748424996056575,0.7533333333333333,0.7688443963443963,0.7533333333333333,0.6842105263157895,0.5833333333333334,0.875,0.7,0.4303489473092928,0.875,0.5454545454545454
ExtraTreeClassifier,0.0007833957672119141,0.004263734817504883,0.6846455505279034,0.6876190476190476,0.6940000000000002,0.6876190476190476,0.5789473684210527,0.5,0.625,0.5555555555555556,0.1685499656158105,0.625,0.5454545454545454
RandomForestClassifier,0.09020271301269531,0.016178369522094727,0.7533730158730159,0.7561904761904762,0.7625396825396825,0.7561904761904762,0.5789473684210527,0.5,0.75,0.6,0.20935894733965593,0.75,0.45454545454545453
BaggingClassifier,0.02405514717102051,0.017694091796875,0.7899952395385832,0.7952380952380952,0.8139898989898992,0.7952380952380952,0.7894736842105263,0.7,0.875,0.7777777777777778,0.5955432118425306,0.875,0.7272727272727273
AdaBoostClassifier,0.3562457084655762,0.009195756912231446,0.7583611170964113,0.7695238095238095,0.7949841269841269,0.7695238095238095,0.7368421052631579,0.6363636363636364,0.875,0.7368421052631579,0.5113636363636364,0.875,0.6363636363636364
GradientBoostingClassifier,1.3305027961730957,0.004370546340942383,0.779078144078144,0.7819047619047619,0.7898544973544974,0.7819047619047619,0.5263157894736842,0.46153846153846156,0.75,0.5714285714285714,0.1207011373963169,0.75,0.36363636363636365
HistGradientBoostingClassifier,0.04935135841369629,0.005149316787719726,0.7800396825396826,0.7828571428571429,0.7892063492063492,0.7828571428571429,0.5789473684210527,0.5,0.5,0.5,0.13636363636363635,0.5,0.6363636363636364
ExtraTrees-ensemble,0.06591486930847168,0.01617269515991211,0.7590850989968638,0.7695238095238095,0.7837248677248677,0.7695238095238095,0.5263157894736842,0.45454545454545453,0.625,0.5263157894736842,0.07954545454545454,0.625,0.45454545454545453
XGBClassifier,0.04798083305358887,0.006308507919311523,0.8205423280423281,0.822857142857143,0.8392275132275133,0.822857142857143,0.7894736842105263,0.7,0.875,0.7777777777777778,0.5955432118425306,0.875,0.7272727272727273
LGBMClassifier,0.04548478126525879,0.006611490249633789,0.7940530058177117,0.7952380952380952,0.7971693121693122,0.7952380952380952,0.6842105263157895,0.6,0.75,0.6666666666666666,0.3820465887291705,0.75,0.6363636363636364
