algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity
GaussianProcessClassifier,0.00394587516784668,0.00522003173828125,0.6011041681629916,0.6180952380952381,0.6250787545787546,0.6180952380952381,0.6842105263157895,0.6666666666666666,0.8,0.7272727272727273,0.3680349649825889,0.8,0.5555555555555556
RidgeClassifier,0.0019209861755371093,0.004559469223022461,0.6352051282051282,0.6447619047619048,0.6550396825396826,0.6447619047619048,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,0.9,0.5555555555555556
LogisticRegression,0.011449241638183593,0.004623126983642578,0.5997854868443103,0.6171428571428571,0.6237692307692309,0.6171428571428571,0.6842105263157895,0.6666666666666666,0.8,0.7272727272727273,0.3680349649825889,0.8,0.5555555555555556
SGDClassifier,0.002847909927368164,0.004679203033447266,0.6278655411782347,0.6438095238095238,0.6802407407407408,0.6438095238095238,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,0.9,0.5555555555555556
LinearDiscriminantAnalysis,0.008875274658203125,0.006974077224731446,0.6255913745697026,0.6323809523809524,0.6327982202982204,0.6323809523809524,0.631578947368421,0.6363636363636364,0.7,0.6666666666666666,0.2584432806109095,0.7,0.5555555555555556
QuadraticDiscriminantAnalysis,0.005643701553344727,0.007015323638916016,0.5852219349278173,0.5885714285714285,0.5938624338624339,0.5885714285714285,0.5263157894736842,0.5384615384615384,0.7,0.6086956521739131,0.03580574370197164,0.7,0.3333333333333333
SVC,0.002506113052368164,0.007511758804321289,0.5855745996922467,0.6057142857142856,0.6231210826210827,0.6057142857142856,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
KNeighborsClassifier,0.0006968975067138672,0.006416988372802734,0.5949352771411596,0.6028571428571428,0.6149999999999999,0.6028571428571428,0.631578947368421,0.6153846153846154,0.8,0.6956521739130435,0.26257545381445874,0.8,0.4444444444444444
GaussianNB,0.0010688304901123047,0.004576539993286133,0.546452153510977,0.5638095238095238,0.5704358974358975,0.5638095238095238,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777,0.8,0.7777777777777778
DecisionTreeClassifier,0.015326261520385742,0.00456089973449707,0.5784727364139128,0.5895238095238096,0.6042424242424242,0.5895238095238096,0.7894736842105263,0.75,0.9,0.8181818181818182,0.5865557254410011,0.9,0.6666666666666666
ExtraTreeClassifier,0.0008353233337402344,0.004418373107910156,0.6083809523809525,0.6209523809523809,0.6188359788359789,0.6209523809523809,0.5789473684210527,0.5714285714285714,0.8,0.6666666666666666,0.15118578920369088,0.8,0.3333333333333333
RandomForestClassifier,0.09101481437683105,0.016417598724365233,0.6546143072613662,0.6580952380952381,0.6662037037037037,0.6580952380952381,0.7368421052631579,0.6666666666666666,1.0,0.8,0.5443310539518174,1.0,0.4444444444444444
BaggingClassifier,0.032392024993896484,0.020718765258789063,0.6247028352910705,0.6304761904761904,0.6377142857142857,0.6304761904761904,0.7368421052631579,0.7272727272727273,0.8,0.7619047619047619,0.47193990372426947,0.8,0.6666666666666666
AdaBoostClassifier,0.3223872184753418,0.008279895782470703,0.6827421652421652,0.6866666666666668,0.6935634920634921,0.6866666666666668,0.631578947368421,0.6,0.9,0.72,0.2857738033247041,0.9,0.3333333333333333
GradientBoostingClassifier,1.3382601261138916,0.004031753540039063,0.6080277892042598,0.619047619047619,0.6302609427609427,0.619047619047619,0.7894736842105263,0.75,0.9,0.8181818181818182,0.5865557254410011,0.9,0.6666666666666666
HistGradientBoostingClassifier,0.04763836860656738,0.005307340621948242,0.6536764705882353,0.6561904761904762,0.6602248677248677,0.6561904761904762,0.6842105263157895,0.6428571428571429,0.9,0.75,0.3905632887762015,0.9,0.4444444444444444
ExtraTrees-ensemble,0.06396489143371582,0.016272926330566408,0.665567853199432,0.6714285714285715,0.6848232323232322,0.6714285714285715,0.7894736842105263,0.7142857142857143,1.0,0.8333333333333334,0.629940788348712,1.0,0.5555555555555556
XGBClassifier,0.05810050964355469,0.006384944915771485,0.5960002742355683,0.6028571428571428,0.6224444444444444,0.6028571428571428,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,0.9,0.5555555555555556
LGBMClassifier,0.04975419044494629,0.008020591735839844,0.6235185185185186,0.6285714285714286,0.6352063492063491,0.6285714285714286,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,0.9,0.5555555555555556
